pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1147,688489.SH,三未信安,0.25789160214413354,27.794117647058837,1.8017338554735205,0.846817874530739,1.3590702456382298,0.8286800699086002,168277447.0,24.6,24.8,24.15,24.15,1180872.0,28688278.0,24.73,-2.345329559239795,20.0,29.68,False,False,True,64.22347017815646
1148,600990.SH,四创电子,0.1676776429809359,35.39473684210526,1.7435796566052566,1.535379151770586,0.9904610836533563,0.712406798639108,269012696.0,18.98,19.18,18.91,19.01,2942500.0,56032162.0,19.07,-0.3146303093864655,10.0,20.98,False,False,True,64.21378776142524
1149,000524.SZ,岭南控股,0.25338894681960367,34.158415841584166,1.2187200225482386,1.6968947530094518,1.1061961579778843,1.0776395870043178,670008507.0,10.46,10.6,10.38,10.54,12252050.0,128692089.0,10.51,0.2854424357754404,10.0,11.56,False,False,True,64.17893106119287
1150,002162.SZ,悦心健康,0.27760252365930604,30.487804878048784,1.4188525036066113,1.5571967296629685,1.0404594186554132,0.5483125376079778,918321621.0,4.12,4.15,4.07,4.1,7840910.0,32125600.0,4.16,-1.4423076923077094,10.0,4.58,False,False,True,64.0859798605732
1151,002576.SZ,通达动力,0.3124215809284818,35.27980535279804,1.4253676762525873,1.7562323390011156,0.6335224867396513,0.7683669195664322,162027571.0,14.77,14.91,14.64,14.86,2186450.0,32370934.0,14.82,0.26990553306343035,10.0,16.3,False,False,True,64.0588690937258
1152,603518.SH,锦泓集团,0.3592233009708737,22.861356932153388,1.2655156261526712,1.8752791550784556,1.1373971525883602,0.8481254040292961,344073984.0,8.21,8.27,8.09,8.21,5472400.0,44658834.0,8.26,-0.6053268765133013,10.0,9.09,False,False,True,64.05305964368705
1153,605337.SH,李子园,0.23583460949464022,28.518057285180575,1.546535752748383,1.3481106934482432,1.5609672927407703,0.6583235828936073,387616508.00000006,9.5,9.54,9.3,9.37,3456268.0,32367963.0,9.57,-2.0898641588296907,10.0,10.53,False,False,True,64.01432997676221
1154,601865.SH,福莱特,0.09791477787851315,31.28491620111733,2.3202643125034017,1.3382335414549729,1.2115347855069645,0.6088837060776869,1901026024.0,9.97,10.06,9.83,9.95,15490100.0,154312419.0,10.03,-0.7976071784646099,10.0,11.03,False,False,True,63.99883810999225
1155,600350.SH,山东高速,0.39212007504690427,35.30591775325978,1.1496218036615908,0.305529162456727,1.5336485331959202,0.8152698285384586,4834570825.0,10.26,10.28,10.08,10.11,12042370.0,122052738.0,10.25,-1.3658536585365866,10.0,11.28,False,False,True,63.96785437645236
1156,688660.SH,电气风电,0.02578947368421054,37.883008356545965,2.361114475402281,1.3805437034728096,0.969649176616691,0.6296832938703506,1333333400.0,7.6,7.65,7.45,7.61,11590738.0,87360632.0,7.67,-0.782268578878742,20.0,9.2,False,False,True,63.91556932610381
1157,600211.SH,西藏药业,0.1741784037558686,20.2962962962963,2.086805147312854,1.8163864339001339,1.6503902386563833,0.6624116203122038,322319196.0,37.47,37.63,36.84,36.88,3878130.0,148054193.0,37.46,-1.5483182060864853,10.0,41.21,False,False,True,63.87683965917893
1158,301088.SZ,戎美股份,0.34359605911330066,30.967741935483883,1.3716668377787316,0.9726899734042501,1.1980196213312369,1.1821789557435631,188000000.0,13.5,13.68,13.29,13.48,2161800.0,29126961.0,13.64,-1.1730205278592365,20.0,16.37,False,False,True,63.85166537567777
1159,603231.SH,索宝蛋白,0.384049079754601,24.087591240875916,0.878591244036655,2.2420504240011594,1.1500192712731565,0.9793674129454197,106265982.0,16.69,16.8,16.43,16.8,2333379.0,38772596.0,16.83,-0.17825311942957223,10.0,18.51,False,False,True,63.843919442292794
1160,605266.SH,健之佳,0.2605304212168484,26.85634975711313,1.509000533194771,1.4973363582188572,1.3834085311173552,0.8691534752537183,154542928.0,16.15,16.15,15.75,15.95,2011245.0,32025096.0,16.08,-0.8084577114427782,10.0,17.69,False,False,True,63.82455460883036
1161,002238.SZ,天威视讯,0.2962226640159045,30.929791271347273,1.586581812910365,0.9080233536927006,1.1898284816945748,0.8439985780436068,802559160.0,6.68,6.77,6.61,6.62,6150576.0,40871659.0,6.76,-2.071005917159763,10.0,7.44,False,False,True,63.78969790859799
1162,300482.SZ,万孚生物,0.11809523809523814,39.10795087265675,1.5829811269176195,1.721957227751068,1.1317633868114922,0.5196606405403352,429263727.0,16.67,16.71,16.42,16.55,3847850.0,63585891.0,16.71,-0.957510472770795,20.0,20.05,False,False,True,63.702556158017046
