pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1232,301100.SZ,风光股份,0.228956228956229,32.96460176991152,1.5325560870863746,1.7927256641157665,1.0202926820507179,0.6877141955614238,88727000.0,16.29,16.37,16.12,16.19,1093900.0,17766763.0,-0.5528255528255532,20.0,19.54,False,False,True,62.28117738187452
1233,603081.SH,大丰实业,0.2728635682158921,26.913580246913572,1.9039958694831873,1.1392747444326752,1.1451949371304855,0.543184822137396,422499149.00000006,9.93,10.05,9.92,9.99,2614580.0,26122952.0,0.7056451612903247,10.0,10.91,False,False,True,62.23470178156468
1234,300215.SZ,电科院,0.19636963696369641,39.23809523809523,1.7661540576252293,1.7979316064296154,0.759600352294088,1.7322467744699521,749094187.0,6.5,6.58,6.42,6.57,23330248.0,152203314.0,2.0186335403726607,20.0,7.73,False,False,True,62.118512780790084
1235,300306.SZ,远方信息,0.32382310984308127,30.299401197604816,1.3822561273982235,1.8108178744744292,0.9638848770747317,0.8883011951607603,157651136.0,10.62,10.67,10.51,10.63,2535900.0,26926619.0,0.09416195856875031,20.0,12.74,False,False,True,62.06041828040279
1236,605008.SH,长鸿高科,0.3076923076923077,34.11764705882354,1.3701814542298707,0.8264001332436596,2.2245020144861316,0.7833489135475836,645962414.0,13.12,13.34,12.96,13.34,4181700.0,55105713.0,2.6153846153846194,10.0,14.3,False,False,True,62.052672347017825
1237,600824.SH,益民集团,0.22685185185185197,22.57053291536051,1.8365820994830806,1.6152986091278472,1.9029937666466836,1.188480899063287,1054027073.0,3.66,3.81,3.66,3.8,20234701.0,76448790.0,3.2608695652173836,10.0,4.05,False,False,True,62.04492641363284
1238,002092.SZ,中泰化学,0.2316384180790961,35.14986376021798,1.4970430214908643,2.161658355506125,0.8485647713511847,1.7895123230259136,2575637892.0,4.9,5.02,4.86,4.89,99633768.0,491554456.0,-0.20408163265307477,10.0,5.39,False,False,True,62.03911696359411
1239,605136.SH,丽人丽妆,0.20082530949105912,31.00436681222707,1.6109171938040419,2.066114316464749,1.0688175476670285,1.1049066837690584,400458500.0,8.38,8.66,8.37,8.59,9141921.0,78395110.0,3.1212484993997647,10.0,9.16,False,False,True,62.03137103020915
1240,600415.SH,小商品城,0.28844317096466093,37.420718816067634,1.411702907954464,1.3387359372709675,0.9756271621655834,1.3138619855628586,5483559226.000001,12.38,13.09,12.37,12.96,96451105.0,1243287145.0,3.8461538461538547,10.0,13.73,False,False,True,61.97327652982184
1241,603969.SH,银龙股份,0.23221757322175723,26.466165413533837,1.6827495126842191,2.0069787957026284,1.0961751255184509,0.619852982453262,851553800.0,7.75,7.89,7.7,7.8,10593600.0,82661410.0,0.5154639175257714,10.0,8.54,False,False,True,61.93841982958948
